,Product_A,Product_B,Lift,product_A_name,product_B_name
31060,36865,28465,57.931592758089465,Non Fat Raspberry Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt
38722,21292,8048,52.80341498224587,Rainbow Bell Peppers,Packaged Grape Tomatoes
38699,21292,30827,51.79504293486722,Rainbow Bell Peppers,Seedless Cucumbers
24063,8048,8571,45.41500916974423,Packaged Grape Tomatoes,Baby Cucumbers
24067,8048,30827,41.58665409189246,Packaged Grape Tomatoes,Seedless Cucumbers
22573,40571,4957,41.233056827845495,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt With Blueberry
21444,4957,33754,38.69549103413068,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt
18329,24799,28465,37.980275548318794,Vanilla Skyr Nonfat Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt
22568,40571,33787,37.26632187089185,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt with Peach
21523,4957,33787,37.16358453364931,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach
33761,37710,6184,33.67874547263681,Trail Mix,Clementines
20424,33787,33754,33.17095320786596,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% with Strawberry Lowfat Greek Strained Yogurt
31067,36865,24799,31.759277779220895,Non Fat Raspberry Yogurt,Vanilla Skyr Nonfat Yogurt
38695,21292,8571,29.702228811964876,Rainbow Bell Peppers,Baby Cucumbers
19850,20119,26620,27.14006931496312,Sparkling Water Berry,Peach Pear Flavored Sparkling Water
33743,37710,196,26.93692105263158,Trail Mix,Soda
22489,40571,33754,25.652361041020836,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% with Strawberry Lowfat Greek Strained Yogurt
38731,21292,38768,24.763275902480583,Rainbow Bell Peppers,Sweet Kale Salad Mix
10228,2295,15290,24.326059272957874,Yellow Bell Pepper,Orange Bell Pepper
30043,1158,46802,22.612030238910112,Mango Chunks,Pineapple Chunks
9564,17948,24489,21.966443723668554,Frozen Organic Wild Blueberries,Organic Whole Strawberries
22305,45603,30776,21.85619999937388,Trilogy Kombucha Drink,Organic Raw Kombucha Gingerade
23962,8048,6184,21.237150153261116,Packaged Grape Tomatoes,Clementines
26097,38768,8048,20.90617835367666,Sweet Kale Salad Mix,Packaged Grape Tomatoes
38594,21292,6184,19.681361309395054,Rainbow Bell Peppers,Clementines
26074,38768,30827,19.58091971109657,Sweet Kale Salad Mix,Seedless Cucumbers
13489,18523,33754,19.461498217063866,Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% with Strawberry Lowfat Greek Strained Yogurt
20628,2086,8021,19.22290097224905,Sustainably Soft Bath Tissue,100% Recycled Paper Towels
24844,17122,6184,18.78869128850454,Honeycrisp Apples,Clementines
44224,13535,35561,18.2090404525563,Organic Medium Salsa,Organic Tortilla Chips
35997,35561,8048,18.00857208499435,Organic Tortilla Chips,Packaged Grape Tomatoes
38666,21292,32689,17.624806678477974,Rainbow Bell Peppers,Romaine Hearts
20465,33787,18523,17.464003549332364,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% All Natural Greek Strained Yogurt with Honey
21485,4957,18523,17.349179307831175,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% All Natural Greek Strained Yogurt with Honey
38771,21292,35561,16.997663979232975,Rainbow Bell Peppers,Organic Tortilla Chips
36038,35561,37710,16.483140096618357,Organic Tortilla Chips,Trail Mix
18427,8571,6184,16.248277504166822,Baby Cucumbers,Clementines
43928,20955,35561,15.97203497734337,Cereal,Organic Tortilla Chips
26070,38768,8571,15.898724603863734,Sweet Kale Salad Mix,Baby Cucumbers
42440,40545,1158,15.895481075189423,Berry Medley,Mango Chunks
33835,37710,32478,15.342059016393442,Trail Mix,Reduced Fat 2% Milk
24000,8048,21288,15.142900548619576,Packaged Grape Tomatoes,Blackberries
23910,8048,12341,14.959499464565694,Packaged Grape Tomatoes,Hass Avocados
19273,30827,32689,14.939482545383443,Seedless Cucumbers,Romaine Hearts
42348,40545,46802,14.91298208335995,Berry Medley,Pineapple Chunks
24945,17122,8571,14.613655189021932,Honeycrisp Apples,Baby Cucumbers
3381,21709,35221,14.293128990673672,Sparkling Lemon Water,Lime Sparkling Water
13621,32478,6184,13.649047114155998,Reduced Fat 2% Milk,Clementines
43938,20955,21292,13.56394354999006,Cereal,Rainbow Bell Peppers
19783,20119,21709,13.506676786267578,Sparkling Water Berry,Sparkling Lemon Water
15104,43768,10749,13.469038123053608,Organic Bell Pepper,Organic Red Bell Pepper
18375,8571,12341,13.412963385008267,Baby Cucumbers,Hass Avocados
35869,35561,6184,13.325921719902901,Organic Tortilla Chips,Clementines
28428,26790,34448,13.26791214206235,Organic AppleApple,Original Veggie Straws
35974,35561,30827,13.223681343774484,Organic Tortilla Chips,Seedless Cucumbers
36006,35561,38768,13.193548636567524,Organic Tortilla Chips,Sweet Kale Salad Mix
44711,13984,43789,13.15233112159885,Organic Mint,Organic Basil
25969,38768,6184,13.043890472928846,Sweet Kale Salad Mix,Clementines
38300,15937,34358,12.989182804006203,Shallot,Garlic
24034,8048,32689,12.940501883871947,Packaged Grape Tomatoes,Romaine Hearts
18499,8571,32689,12.877856979443568,Baby Cucumbers,Romaine Hearts
22530,40571,18523,12.705321152053658,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% All Natural Greek Strained Yogurt with Honey
23862,47977,49520,12.26887160512472,Grapefruit Sparkling Water,Orange Sparkling Water
24949,17122,30827,12.247117825449283,Honeycrisp Apples,Seedless Cucumbers
43266,24561,42450,12.235158817367072,Organic Cheese Frozen Pizza,Macaroni & Cheese
33893,37710,17122,12.08488623676612,Trail Mix,Honeycrisp Apples
18465,8571,21288,11.90281359866997,Baby Cucumbers,Blackberries
27598,14678,20995,11.89134042392698,Organic Frozen Peas,Organic Broccoli Florets
38542,21292,12341,11.79764608927339,Rainbow Bell Peppers,Hass Avocados
19201,30827,6184,11.630865188368652,Seedless Cucumbers,Clementines
8282,21288,43352,11.454095499751986,Blackberries,Raspberries
19239,30827,21288,11.452970425323857,Seedless Cucumbers,Blackberries
33841,37710,43154,11.391622471910113,Trail Mix,Sparkling Mineral Water
33850,37710,16953,11.349721413721413,Trail Mix,Creamy Peanut Butter
24036,8048,32478,11.183722683448758,Packaged Grape Tomatoes,Reduced Fat 2% Milk
29867,20082,1511,11.130192895804697,Organic Whole Milk with DHA Omega-3,2% Reduced Fat DHA Omega-3 Reduced Fat Milk
22047,29447,30233,11.023046742518186,"Milk, Organic, Vitamin D",Organic Large Brown Grade AA Cage Free Eggs
32799,7948,42701,10.696291419793724,Organic Unsalted Butter,Organic Sour Cream
24972,17122,8048,10.693195042032539,Honeycrisp Apples,Packaged Grape Tomatoes
8607,42768,27156,10.660295338411004,Organic Garbanzo Beans,Organic Black Beans
35198,15424,47977,10.525224906896398,Purified Water,Grapefruit Sparkling Water
44449,33768,30827,10.482340819234743,Sinfully Sweet Campari Tomatoes,Seedless Cucumbers
19302,30827,8571,10.435626260265083,Seedless Cucumbers,Baby Cucumbers
41502,48745,43768,10.38713564230602,Globe Eggplant,Organic Bell Pepper
33878,37710,5258,10.257399582463465,Trail Mix,Sparkling Water
11108,26620,21709,10.192220439145737,Peach Pear Flavored Sparkling Water,Sparkling Lemon Water
44445,33768,8571,10.14789165791575,Sinfully Sweet Campari Tomatoes,Baby Cucumbers
11739,46802,24489,10.141976038924991,Pineapple Chunks,Organic Whole Strawberries
6749,5025,28842,10.129263143211535,Green Onions,Bunched Cilantro
43856,20955,30827,10.093550360703793,Cereal,Seedless Cucumbers
19761,20119,35221,10.082579988725984,Sparkling Water Berry,Lime Sparkling Water
19149,30827,12341,10.055120838120747,Seedless Cucumbers,Hass Avocados
25352,34448,13870,9.931970367185812,Original Veggie Straws,Lightly Salted Baked Snap Pea Crisps
4168,6184,196,9.864958649733786,Clementines,Soda
36695,6104,16185,9.788160209858138,Whole Milk Plain Yogurt,Sharp Cheddar Cheese
25917,38768,12341,9.78334732560645,Sweet Kale Salad Mix,Hass Avocados
26198,890,27156,9.76498227796083,Organic Diced Tomatoes,Organic Black Beans
34852,30169,46676,9.698142225794395,Total 2% All Natural Plain Greek Yogurt,Total 0% Nonfat Greek Yogurt
37647,47141,10673,9.654810413129598,Cola,Original Nooks & Crannies English Muffins
40586,28993,5025,9.5441291650073,Iceberg Lettuce,Green Onions
38651,21292,44683,9.449189923659084,Rainbow Bell Peppers,Brussels Sprouts
44623,13984,46667,9.3644671853075,Organic Mint,Organic Ginger Root
10659,31553,34358,9.34694827964059,Fresh Ginger Root,Garlic
21818,49520,21709,9.244484674863061,Orange Sparkling Water,Sparkling Lemon Water
33134,41665,26790,9.224712617917898,Organic Mexican Blend Finely Shredded Cheese,Organic AppleApple
19719,20119,44632,9.21321677502397,Sparkling Water Berry,Sparkling Water Grapefruit
11044,26620,44632,9.210238581525612,Peach Pear Flavored Sparkling Water,Sparkling Water Grapefruit
26101,38768,17122,9.112310396150965,Sweet Kale Salad Mix,Honeycrisp Apples
14851,41290,25146,9.07296208590412,Lemonade,Original Orange Juice
38632,21292,21288,8.876258622144643,Rainbow Bell Peppers,Blackberries
1788,35221,44632,8.817022447287556,Lime Sparkling Water,Sparkling Water Grapefruit
34918,30169,33787,8.810935703956394,Total 2% All Natural Plain Greek Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach
19799,20119,14947,8.79750768424657,Sparkling Water Berry,Pure Sparkling Water
15359,48205,43772,8.741788196493232,Spinach,Cherubs Heavenly Salad Tomatoes
25198,40332,10957,8.740139862320593,"Cage Free Brown Eggs-Large, Grade A",Fridge Pack Cola
35482,35042,5782,8.729521854122492,Black Beans,Grade A Large White Eggs
21885,49520,26620,8.707778577277127,Orange Sparkling Water,Peach Pear Flavored Sparkling Water
26948,21376,13870,8.679928492325908,Pretzel Crisps Original Deli Style Pretzel Crackers,Lightly Salted Baked Snap Pea Crisps
43248,24561,17600,8.670465391871756,Organic Cheese Frozen Pizza,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry"
43010,40709,21376,8.667403342986333,Sea Salt & Vinegar Potato Chips,Pretzel Crisps Original Deli Style Pretzel Crackers
23944,8048,196,8.655822960357192,Packaged Grape Tomatoes,Soda
21724,5258,30827,8.649151618633066,Sparkling Water,Seedless Cucumbers
19577,5818,34358,8.649015064255016,White Onion,Garlic
26929,21376,41844,8.645471654365418,Pretzel Crisps Original Deli Style Pretzel Crackers,Honey Nut Cheerios
23897,8048,43352,8.643247385340564,Packaged Grape Tomatoes,Raspberries
43879,20955,8048,8.612581123001402,Cereal,Packaged Grape Tomatoes
25077,40332,44142,8.580026755925301,"Cage Free Brown Eggs-Large, Grade A",Red Onion
4835,14947,21709,8.486757889097312,Pure Sparkling Water,Sparkling Lemon Water
30372,10673,5782,8.446751052127397,Original Nooks & Crannies English Muffins,Grade A Large White Eggs
21796,49520,35221,8.443229770628738,Orange Sparkling Water,Lime Sparkling Water
44691,13984,21405,8.436518597986318,Organic Mint,"Organic Red Radish, Bunch"
29629,31040,13646,8.382042874422538,Sea Salt Pita Chips,Lemon Hummus
41583,48745,23165,8.32322626875554,Globe Eggplant,Organic Leek
19275,30827,32478,8.316380646353775,Seedless Cucumbers,Reduced Fat 2% Milk
43840,20955,16953,8.248344050669631,Cereal,Creamy Peanut Butter
3157,28842,20114,8.231170204869358,Bunched Cilantro,Jalapeno Peppers
18362,8571,43352,8.224775879738555,Baby Cucumbers,Raspberries
11086,26620,35221,8.217046267109012,Peach Pear Flavored Sparkling Water,Lime Sparkling Water
30028,1158,17948,8.198982867732434,Mango Chunks,Frozen Organic Wild Blueberries
32600,23165,48364,8.185043997862806,Organic Leek,Sweet Onion
31430,13198,25890,8.079414776307498,85% Lean Ground Beef,Boneless Skinless Chicken Breasts
4134,6184,12341,8.04828484995017,Clementines,Hass Avocados
31568,13198,13629,8.023051904661129,85% Lean Ground Beef,Organic Snipped Green Beans
23574,30450,17948,8.021444829972488,Creamy Almond Butter,Frozen Organic Wild Blueberries
28380,26790,17600,8.007040167086632,Organic AppleApple,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry"
26237,890,42768,7.930164685570092,Organic Diced Tomatoes,Organic Garbanzo Beans
23975,8048,37687,7.91826626351039,Packaged Grape Tomatoes,Organic Spring Mix
28199,5782,39993,7.861593050851363,Grade A Large White Eggs,Vine Ripe Tomatoes
40717,28993,45,7.823345735755454,Iceberg Lettuce,European Cucumber
21601,5258,196,7.81051990623741,Sparkling Water,Soda
18828,35108,42736,7.748737257032266,Salted Butter,Unsalted Butter
13603,32478,196,7.7394874652478185,Reduced Fat 2% Milk,Soda
13141,39408,9387,7.7120758724888825,Gala Apples,Granny Smith Apples
26007,38768,21288,7.668327756211015,Sweet Kale Salad Mix,Blackberries
30001,1158,24489,7.651228625291325,Mango Chunks,Organic Whole Strawberries
16498,35939,31717,7.608540957828586,Organic Jalapeno Pepper,Organic Cilantro
36841,6104,7948,7.563943902391713,Whole Milk Plain Yogurt,Organic Unsalted Butter
6771,5025,44142,7.539399854924048,Green Onions,Red Onion
25377,34448,17600,7.509750321342419,Original Veggie Straws,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry"
31482,13198,42736,7.461247874742373,85% Lean Ground Beef,Unsalted Butter
29081,44987,23734,7.452339132856339,Heavy Whipping Cream,Sour Cream
19678,5818,48205,7.360276980303185,White Onion,Spinach
3339,21709,44632,7.345645627024086,Sparkling Lemon Water,Sparkling Water Grapefruit
44607,13984,34126,7.335941693142253,Organic Mint,Organic Italian Parsley Bunch
38361,15937,14992,7.308463663482043,Shallot,Green Beans
30269,10673,43772,7.2825447644099865,Original Nooks & Crannies English Muffins,Cherubs Heavenly Salad Tomatoes
40541,28993,23909,7.2750746268656705,Iceberg Lettuce,2% Reduced Fat Milk
35346,35042,44142,7.26114724377504,Black Beans,Red Onion
11124,26620,14947,7.259575742788402,Peach Pear Flavored Sparkling Water,Pure Sparkling Water
30265,10673,1940,7.235302849281344,Original Nooks & Crannies English Muffins,Organic 2% Reduced Fat Milk
19399,10132,7781,7.216987384916554,Organic American Cheese Singles,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
31490,13198,8193,7.214117533677477,85% Lean Ground Beef,Russet Potato
15341,48205,5025,7.1898763025898775,Spinach,Green Onions
20089,47672,3952,7.177552457330663,Uncured Hickory Smoked Sunday Bacon,Organic Broccoli Crowns
38485,15937,4562,7.177282335436868,Shallot,English Seedless Cucumber
43309,24561,26790,7.158589022816933,Organic Cheese Frozen Pizza,Organic AppleApple
19136,30827,43352,7.149967679538806,Seedless Cucumbers,Raspberries
38711,21292,5258,7.1470175463095496,Rainbow Bell Peppers,Sparkling Water
35817,35561,12341,7.082344865694375,Organic Tortilla Chips,Hass Avocados
38529,21292,43352,7.082120586402911,Rainbow Bell Peppers,Raspberries
35651,26940,21405,7.068978910194848,Organic Large Green Asparagus,"Organic Red Radish, Bunch"
34839,30169,33754,7.0620194722404666,Total 2% All Natural Plain Greek Yogurt,Total 2% with Strawberry Lowfat Greek Strained Yogurt
